iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,nb,duo,culture,indoors,sport,social
6794.0,452,13.0,1.0,23.0,2.0,17.0,11.0,2.0,9.0,5.0,10.0,439,0.0,0.4300000071525574,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,4.0,10.0,10.0,7.0,10.0,4.019449351997755,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_439,8.25,7.333333333333333,7.75,7.25
6793.0,452,13.0,1.0,23.0,2.0,17.0,11.0,13.0,9.0,4.0,9.0,438,0.0,0.30000001192092896,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_438,8.25,7.333333333333333,7.75,7.25
6792.0,452,13.0,1.0,23.0,2.0,17.0,11.0,12.0,9.0,3.0,8.0,437,0.0,0.4699999988079071,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_437,8.25,7.333333333333333,7.75,7.25
6791.0,452,13.0,1.0,23.0,2.0,17.0,11.0,6.0,9.0,8.0,7.0,436,0.0,-0.03999999910593033,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_436,8.25,7.333333333333333,7.75,7.25
6790.0,452,13.0,1.0,23.0,2.0,17.0,11.0,7.0,9.0,9.0,6.0,435,0.0,0.11999999731779099,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_435,8.25,7.333333333333333,7.75,7.25
6789.0,452,13.0,1.0,23.0,2.0,17.0,11.0,4.0,9.0,7.0,5.0,434,0.0,-0.009999999776482582,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_434,8.25,7.333333333333333,7.75,7.25
6788.0,452,13.0,1.0,23.0,2.0,17.0,11.0,3.0,9.0,6.0,4.0,433,0.0,0.1899999976158142,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_433,8.25,7.333333333333333,7.75,7.25
6787.0,452,13.0,1.0,23.0,2.0,17.0,11.0,11.0,9.0,2.0,3.0,432,1.0,0.18000000715255737,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_432,8.25,7.333333333333333,7.75,7.25
6786.0,452,13.0,1.0,23.0,2.0,17.0,11.0,9.0,9.0,1.0,2.0,431,0.0,-0.20000000298023224,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_431,8.25,7.333333333333333,7.75,7.25
6785.0,452,13.0,1.0,23.0,2.0,17.0,11.0,8.0,9.0,10.0,1.0,430,0.0,0.20999999344348907,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,8.0,4.0,7.0,1.0,10027.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,1,452_430,8.25,7.333333333333333,7.75,7.25
6784.0,451,12.0,1.0,22.0,2.0,17.0,11.0,2.0,13.0,2.0,10.0,439,0.0,0.2199999988079071,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_439,5.0,6.333333333333333,2.75,5.0
6783.0,451,12.0,1.0,22.0,2.0,17.0,11.0,13.0,13.0,1.0,9.0,438,0.0,0.4399999976158142,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_438,5.0,6.333333333333333,2.75,5.0
6782.0,451,12.0,1.0,22.0,2.0,17.0,11.0,12.0,13.0,10.0,8.0,437,0.0,0.4399999976158142,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_437,5.0,6.333333333333333,2.75,5.0
6781.0,451,12.0,1.0,22.0,2.0,17.0,11.0,6.0,13.0,5.0,7.0,436,0.0,0.44999998807907104,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_436,5.0,6.333333333333333,2.75,5.0
6780.0,451,12.0,1.0,22.0,2.0,17.0,11.0,7.0,13.0,6.0,6.0,435,0.0,0.20999999344348907,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,1.0,8.0,8.0,4.0,7.0,5.023718453487464,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_435,5.0,6.333333333333333,2.75,5.0
6779.0,451,12.0,1.0,22.0,2.0,17.0,11.0,4.0,13.0,4.0,5.0,434,0.0,0.009999999776482582,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_434,5.0,6.333333333333333,2.75,5.0
6778.0,451,12.0,1.0,22.0,2.0,17.0,11.0,3.0,13.0,3.0,4.0,433,0.0,-0.07000000029802322,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_433,5.0,6.333333333333333,2.75,5.0
6777.0,451,12.0,1.0,22.0,2.0,17.0,11.0,11.0,13.0,9.0,3.0,432,0.0,0.23999999463558197,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,0.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_432,5.0,6.333333333333333,2.75,5.0
6776.0,451,12.0,1.0,22.0,2.0,17.0,11.0,9.0,13.0,8.0,2.0,431,0.0,-0.009999999776482582,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_431,5.0,6.333333333333333,2.75,5.0
6775.0,451,12.0,1.0,22.0,2.0,17.0,11.0,8.0,13.0,7.0,1.0,430,0.0,0.17000000178813934,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,8.0,4.0,3.0,1.0,650206.0,37881.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,1,451_430,5.0,6.333333333333333,2.75,5.0
6774.0,450,11.0,1.0,21.0,2.0,17.0,11.0,2.0,2.0,1.0,10.0,439,0.0,0.20999999344348907,1.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,10773.0,53650.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_439,9.25,8.5,7.0,6.5
6773.0,450,11.0,1.0,21.0,2.0,17.0,11.0,13.0,2.0,10.0,9.0,438,1.0,0.46000000834465027,1.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,1.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,13.0,2.0,3.0,7.0,10027.0,52280.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_438,9.25,8.5,7.0,6.5
6772.0,450,11.0,1.0,21.0,2.0,17.0,11.0,12.0,2.0,9.0,8.0,437,0.0,0.5299999713897705,1.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,13.0,2.0,3.0,7.0,10027.0,52280.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_437,9.25,8.5,7.0,6.5
6771.0,450,11.0,1.0,21.0,2.0,17.0,11.0,6.0,2.0,4.0,7.0,436,0.0,0.47999998927116394,1.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,13.0,2.0,3.0,7.0,10027.0,52280.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_436,9.25,8.5,7.0,6.5
6770.0,450,11.0,1.0,21.0,2.0,17.0,11.0,7.0,2.0,5.0,6.0,435,0.0,-0.07999999821186066,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,13.0,2.0,3.0,7.0,10027.0,52280.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_435,9.25,8.5,7.0,6.5
6769.0,450,11.0,1.0,21.0,2.0,17.0,11.0,4.0,2.0,3.0,5.0,434,0.0,-0.10000000149011612,1.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,13.0,2.0,3.0,7.0,10773.0,53660.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_434,9.25,8.5,7.0,6.5
6768.0,450,11.0,1.0,21.0,2.0,17.0,11.0,3.0,2.0,2.0,4.0,433,0.0,0.33000001311302185,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,13.0,2.0,3.0,7.0,10027.0,53656.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_433,9.25,8.5,7.0,6.5
6767.0,450,11.0,1.0,21.0,2.0,17.0,11.0,11.0,2.0,8.0,3.0,432,1.0,0.4000000059604645,1.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,13.0,2.0,3.0,7.0,10776.0,53654.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_432,9.25,8.5,7.0,6.5
6766.0,450,11.0,1.0,21.0,2.0,17.0,11.0,9.0,2.0,7.0,2.0,431,0.0,0.05999999865889549,0.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,13.0,2.0,3.0,7.0,10774.0,52280.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_431,9.25,8.5,7.0,6.5
6765.0,450,11.0,1.0,21.0,2.0,17.0,11.0,8.0,2.0,6.0,1.0,430,0.0,0.009999999776482582,0.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,10774.0,53659.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,1,450_430,9.25,8.5,7.0,6.5
6764.0,449,10.0,1.0,20.0,2.0,17.0,11.0,2.0,8.0,6.0,10.0,439,0.0,0.46000000834465027,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,8.0,9.0,9.0,4.0,9.0,6.06417247598233,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,1,449_439,6.0,5.833333333333333,5.25,3.75
6763.0,449,10.0,1.0,20.0,2.0,17.0,11.0,13.0,8.0,5.0,9.0,438,0.0,0.11999999731779099,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,1,449_438,6.0,5.833333333333333,5.25,3.75
6762.0,449,10.0,1.0,20.0,2.0,17.0,11.0,12.0,8.0,4.0,8.0,437,0.0,0.3499999940395355,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,1,449_437,6.0,5.833333333333333,5.25,3.75
6761.0,449,10.0,1.0,20.0,2.0,17.0,11.0,6.0,8.0,9.0,7.0,436,1.0,0.7799999713897705,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,1,449_436,6.0,5.833333333333333,5.25,3.75
6760.0,449,10.0,1.0,20.0,2.0,17.0,11.0,7.0,8.0,10.0,6.0,435,1.0,0.009999999776482582,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,1,449_435,6.0,5.833333333333333,5.25,3.75
