iid_pid,iid,id,gender,idg,condtn,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,nb,duo
6815.0,509,1.0,0.0,1.0,2.0,11.0,541,0.15000000596046448,1.0,23.0,4.0,40.0,30.0,0.0,20.0,0.0,10.0,5.4994133404237475,6.4994133404237475,6.5005866595762525,4.500586659576253,7.4994133404237475,3.500586659576253,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,541_509
6816.0,509,1.0,0.0,1.0,2.0,12.0,542,0.4300000071525574,1.0,23.0,4.0,25.0,15.0,20.0,20.0,10.0,10.0,2.0,4.0,6.0,4.0,9.0,4.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,542_509
6817.0,509,1.0,0.0,1.0,2.0,13.0,543,0.03999999910593033,1.0,24.0,4.0,20.0,16.0,16.0,17.0,16.0,15.0,4.161666942103165,5.621250206577374,5.999999999999999,4.540416735525791,5.757499586845253,3.4595832644742086,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,543_509
6818.0,509,1.0,0.0,1.0,2.0,14.0,544,-0.03999999910593033,1.0,23.0,4.0,15.0,25.0,20.0,10.0,10.0,20.0,6.0,8.0,7.0,6.0,7.0,5.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,544_509
6819.0,509,1.0,0.0,1.0,2.0,15.0,545,0.029999999329447746,0.0,24.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,8.0,7.0,5.0,8.0,2.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,545_509
6820.0,509,1.0,0.0,1.0,2.0,16.0,546,0.5199999809265137,0.0,30.0,2.0,35.0,10.0,20.0,25.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,546_509
6821.0,509,1.0,0.0,1.0,2.0,17.0,547,0.5799999833106995,0.0,30.0,2.0,25.0,20.0,20.0,20.0,0.0,15.0,5.0,6.0,7.0,5.0,7.0,4.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,547_509
6822.0,509,1.0,0.0,1.0,2.0,18.0,548,0.23000000417232513,0.0,30.0,2.0,40.0,10.0,20.0,10.0,0.0,20.0,5.0,5.0,7.0,7.0,7.0,9.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,548_509
6823.0,509,1.0,0.0,1.0,2.0,19.0,549,0.4300000071525574,0.0,28.0,2.0,20.0,20.0,20.0,20.0,0.0,20.0,1.0,6.0,6.0,4.0,6.0,4.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,549_509
6824.0,509,1.0,0.0,1.0,2.0,20.0,550,0.6499999761581421,0.0,30.0,2.0,30.0,3.0,30.0,30.0,3.0,4.0,7.0,6.0,7.0,5.0,7.0,5.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,550_509
6825.0,509,1.0,0.0,1.0,2.0,21.0,551,0.6200000047683716,0.0,27.0,1.0,40.0,20.0,20.0,20.0,0.0,0.0,5.0,7.0,8.0,7.0,8.0,7.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,551_509
6826.0,509,1.0,0.0,1.0,2.0,22.0,552,0.6800000071525574,0.0,25.0,2.0,70.0,0.0,15.0,15.0,0.0,0.0,7.0,7.0,9.0,8.0,9.0,7.0,28.0,6.0,4.0,2.0,2.0,10594.0,49642.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,1,552_509
6827.0,510,2.0,0.0,3.0,2.0,1.0,531,0.17000000178813934,0.0,25.0,4.0,15.0,30.0,20.0,20.0,10.0,5.0,10.0,5.0,5.0,5.0,7.0,8.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,531_510
6828.0,510,2.0,0.0,3.0,2.0,2.0,532,0.03999999910593033,0.0,26.0,4.0,25.0,20.0,20.0,20.0,5.0,10.0,6.0,7.0,7.0,7.0,5.0,5.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,532_510
6829.0,510,2.0,0.0,3.0,2.0,3.0,533,0.6899999976158142,0.0,26.0,2.0,25.0,25.0,25.0,13.0,12.0,0.0,9.0,9.0,10.0,9.0,9.0,7.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,533_510
6830.0,510,2.0,0.0,3.0,2.0,4.0,534,0.5,0.0,24.0,6.0,30.0,30.0,30.0,5.0,2.0,3.0,8.0,9.0,8.0,9.0,8.0,9.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,534_510
6831.0,510,2.0,0.0,3.0,2.0,5.0,535,0.23999999463558197,0.0,23.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,8.0,7.0,7.0,8.0,6.0,6.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,535_510
6832.0,510,2.0,0.0,3.0,2.0,6.0,536,0.36000001430511475,0.0,29.0,2.0,30.0,20.0,20.0,20.0,10.0,0.0,10.0,8.0,9.0,9.0,9.0,9.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,536_510
6833.0,510,2.0,0.0,3.0,2.0,7.0,537,-0.03999999910593033,0.0,22.0,4.0,20.0,5.0,25.0,25.0,5.0,20.0,7.098657137566604,7.0,8.352014293650095,7.549328568783302,6.000000000000001,6.000000000000001,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,537_510
6834.0,510,2.0,0.0,3.0,2.0,8.0,538,0.5699999928474426,0.0,32.0,2.0,50.0,0.0,10.0,30.0,0.0,10.0,8.0,5.0,5.0,8.0,6.0,5.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,538_510
6835.0,510,2.0,0.0,3.0,2.0,9.0,539,0.12999999523162842,0.0,22.0,2.0,30.0,10.0,20.0,15.0,15.0,10.0,8.0,6.0,6.0,5.0,4.0,7.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,539_510
6836.0,510,2.0,0.0,3.0,2.0,10.0,540,0.36000001430511475,0.0,24.0,2.0,20.0,15.0,20.0,20.0,15.0,10.0,8.0,10.0,8.0,9.0,8.0,7.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,540_510
6837.0,510,2.0,0.0,3.0,2.0,11.0,541,-0.3199999928474426,0.0,23.0,4.0,40.0,30.0,0.0,20.0,0.0,10.0,8.0,9.0,10.0,5.0,6.0,5.0,26.0,8.0,3.0,3.0,3.0,194922.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,541_510
6838.0,510,2.0,0.0,3.0,2.0,12.0,542,-0.14000000059604645,0.0,23.0,4.0,25.0,15.0,20.0,20.0,10.0,10.0,6.0,7.0,10.0,7.0,6.0,6.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,542_510
6839.0,510,2.0,0.0,3.0,2.0,13.0,543,-0.07000000029802322,0.0,24.0,4.0,20.0,16.0,16.0,17.0,16.0,15.0,8.0,8.0,8.0,8.0,8.0,5.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,543_510
6840.0,510,2.0,0.0,3.0,2.0,14.0,544,-0.18000000715255737,0.0,23.0,4.0,15.0,25.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,6.0,6.0,5.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,544_510
6841.0,510,2.0,0.0,3.0,2.0,15.0,545,0.6600000262260437,0.0,24.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,6.910069437730735,7.455034718865368,9.089930562269263,7.455034718865368,6.910069437730735,5.5449652811346315,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,545_510
6842.0,510,2.0,0.0,3.0,2.0,16.0,546,-0.03999999910593033,0.0,30.0,2.0,35.0,10.0,20.0,25.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,8.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,546_510
6843.0,510,2.0,0.0,3.0,2.0,17.0,547,0.15000000596046448,0.0,30.0,2.0,25.0,20.0,20.0,20.0,0.0,15.0,6.0,6.0,6.0,6.0,3.0,2.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,547_510
6844.0,510,2.0,0.0,3.0,2.0,18.0,548,0.07000000029802322,0.0,30.0,2.0,40.0,10.0,20.0,10.0,0.0,20.0,7.0,7.0,8.0,6.0,5.0,4.0,26.0,8.0,3.0,3.0,3.0,191266.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,548_510
6845.0,510,2.0,0.0,3.0,2.0,19.0,549,0.07000000029802322,0.0,28.0,2.0,20.0,20.0,20.0,20.0,0.0,20.0,4.0,8.0,9.0,9.0,8.0,7.0,26.0,8.0,3.0,3.0,3.0,10594.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,549_510
6846.0,510,2.0,0.0,3.0,2.0,20.0,550,0.4300000071525574,0.0,30.0,2.0,30.0,3.0,30.0,30.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,26.0,8.0,3.0,3.0,3.0,190997.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,550_510
6847.0,510,2.0,0.0,3.0,2.0,21.0,551,0.33000001311302185,0.0,27.0,1.0,40.0,20.0,20.0,20.0,0.0,0.0,10.0,9.0,9.0,7.0,7.0,8.0,26.0,8.0,3.0,3.0,3.0,190761.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,551_510
6848.0,510,2.0,0.0,3.0,2.0,22.0,552,0.6299999952316284,0.0,25.0,2.0,70.0,0.0,15.0,15.0,0.0,0.0,9.0,9.0,9.0,9.0,8.013572716282372,7.0,26.0,8.0,3.0,3.0,3.0,188027.0,50572.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,1,552_510
6849.0,511,3.0,0.0,5.0,2.0,1.0,531,0.25999999046325684,1.0,25.0,4.0,15.0,30.0,20.0,20.0,10.0,5.0,5.0,10.0,10.0,8.0,10.0,5.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,531_511
6850.0,511,3.0,0.0,5.0,2.0,2.0,532,-0.44999998807907104,1.0,26.0,4.0,25.0,20.0,20.0,20.0,5.0,10.0,7.0,6.0,7.0,6.0,5.0,8.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,532_511
6851.0,511,3.0,0.0,5.0,2.0,3.0,533,0.6000000238418579,0.0,26.0,2.0,25.0,25.0,25.0,13.0,12.0,0.0,6.0,8.0,8.0,5.0,8.903063969778238,5.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,533_511
6852.0,511,3.0,0.0,5.0,2.0,4.0,534,0.2800000011920929,0.0,24.0,6.0,30.0,30.0,30.0,5.0,2.0,3.0,8.0,9.0,8.0,8.0,9.0,7.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,534_511
6853.0,511,3.0,0.0,5.0,2.0,5.0,535,0.23999999463558197,0.0,23.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,7.0,7.0,8.0,7.0,6.0,6.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,535_511
6854.0,511,3.0,0.0,5.0,2.0,6.0,536,0.5199999809265137,0.0,29.0,2.0,30.0,20.0,20.0,20.0,10.0,0.0,9.0,7.0,8.0,4.0,8.0,3.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,536_511
6855.0,511,3.0,0.0,5.0,2.0,7.0,537,0.36000001430511475,1.0,22.0,4.0,20.0,5.0,25.0,25.0,5.0,20.0,5.0,7.0,8.0,4.0,6.0,6.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,537_511
6856.0,511,3.0,0.0,5.0,2.0,8.0,538,0.019999999552965164,0.0,32.0,2.0,50.0,0.0,10.0,30.0,0.0,10.0,5.0,7.0,7.0,5.0,6.0,3.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,538_511
6857.0,511,3.0,0.0,5.0,2.0,9.0,539,0.019999999552965164,0.0,22.0,2.0,30.0,10.0,20.0,15.0,15.0,10.0,4.0,8.0,10.0,4.0,10.0,3.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,539_511
6858.0,511,3.0,0.0,5.0,2.0,10.0,540,0.5199999809265137,0.0,24.0,2.0,20.0,15.0,20.0,20.0,15.0,10.0,7.0,8.0,7.0,7.0,5.0,3.0,23.0,5.0,4.0,2.0,2.0,395001.0,46280.0,2.0,7.0,3.0,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,1,540_511
